user_registration_key,payment_detail_id,plan_id_x,start_date,end_date,plan_key,start_date_key,end_date_key,plan_id_y,payment_frequency_code,cost_amount,payment_frequency_desc
1,1,2,2024-03-02,,2,20240302,,2,ANNUALLY,9.99,Annually
2,2,3,2024-03-31,2024-10-06,3,20240331,20241006.0,3,ONETIME,14.99,Onetime
3,3,1,2024-12-11,,1,20241211,,1,MONTHLY,1.99,Monthly
4,4,2,2024-05-15,2024-11-24,2,20240515,20241124.0,2,ANNUALLY,9.99,Annually
5,5,1,2024-11-01,,1,20241101,,1,MONTHLY,1.99,Monthly
6,6,3,2024-03-14,,3,20240314,,3,ONETIME,14.99,Onetime
7,7,1,2024-07-30,,1,20240730,,1,MONTHLY,1.99,Monthly
8,8,1,2024-01-11,,1,20240111,,1,MONTHLY,1.99,Monthly
9,9,2,2024-02-14,2024-12-16,2,20240214,20241216.0,2,ANNUALLY,9.99,Annually
10,10,1,2024-07-09,,1,20240709,,1,MONTHLY,1.99,Monthly
11,11,3,2024-11-10,,3,20241110,,3,ONETIME,14.99,Onetime
12,12,2,2024-01-27,,2,20240127,,2,ANNUALLY,9.99,Annually
13,13,3,2024-12-18,,3,20241218,,3,ONETIME,14.99,Onetime
14,14,2,2024-06-16,,2,20240616,,2,ANNUALLY,9.99,Annually
15,15,2,2024-09-07,,2,20240907,,2,ANNUALLY,9.99,Annually
16,16,2,2024-01-14,,2,20240114,,2,ANNUALLY,9.99,Annually
17,17,3,2024-09-23,,3,20240923,,3,ONETIME,14.99,Onetime
18,18,1,2024-05-18,,1,20240518,,1,MONTHLY,1.99,Monthly
19,19,2,2024-05-09,,2,20240509,,2,ANNUALLY,9.99,Annually
20,20,2,2024-07-09,,2,20240709,,2,ANNUALLY,9.99,Annually
21,21,2,2024-01-09,2024-09-01,2,20240109,20240901.0,2,ANNUALLY,9.99,Annually
22,22,1,2024-02-21,,1,20240221,,1,MONTHLY,1.99,Monthly
23,23,3,2024-04-26,,3,20240426,,3,ONETIME,14.99,Onetime
24,24,3,2024-01-12,2024-07-30,3,20240112,20240730.0,3,ONETIME,14.99,Onetime
25,25,2,2024-07-14,,2,20240714,,2,ANNUALLY,9.99,Annually
26,26,1,2024-05-29,2024-11-14,1,20240529,20241114.0,1,MONTHLY,1.99,Monthly
27,27,3,2024-05-08,,3,20240508,,3,ONETIME,14.99,Onetime
28,28,2,2024-11-29,,2,20241129,,2,ANNUALLY,9.99,Annually
29,29,2,2024-06-13,,2,20240613,,2,ANNUALLY,9.99,Annually
30,30,1,2024-01-25,,1,20240125,,1,MONTHLY,1.99,Monthly
31,31,1,2024-10-06,2024-12-05,1,20241006,20241205.0,1,MONTHLY,1.99,Monthly
32,32,3,2024-03-30,,3,20240330,,3,ONETIME,14.99,Onetime
33,33,3,2024-06-12,,3,20240612,,3,ONETIME,14.99,Onetime
34,34,3,2024-01-14,,3,20240114,,3,ONETIME,14.99,Onetime
35,35,3,2024-09-06,,3,20240906,,3,ONETIME,14.99,Onetime
36,36,1,2024-12-04,,1,20241204,,1,MONTHLY,1.99,Monthly
37,37,3,2024-06-20,,3,20240620,,3,ONETIME,14.99,Onetime
38,38,2,2024-04-10,,2,20240410,,2,ANNUALLY,9.99,Annually
39,39,3,2024-01-05,,3,20240105,,3,ONETIME,14.99,Onetime
40,40,1,2024-01-14,,1,20240114,,1,MONTHLY,1.99,Monthly
41,41,1,2024-07-08,,1,20240708,,1,MONTHLY,1.99,Monthly
42,42,1,2024-08-14,,1,20240814,,1,MONTHLY,1.99,Monthly
43,43,1,2024-08-02,,1,20240802,,1,MONTHLY,1.99,Monthly
44,44,1,2024-08-17,,1,20240817,,1,MONTHLY,1.99,Monthly
45,45,2,2024-01-12,,2,20240112,,2,ANNUALLY,9.99,Annually
46,46,2,2024-09-23,,2,20240923,,2,ANNUALLY,9.99,Annually
47,47,3,2024-11-08,,3,20241108,,3,ONETIME,14.99,Onetime
48,48,3,2024-07-26,,3,20240726,,3,ONETIME,14.99,Onetime
49,49,1,2024-05-31,,1,20240531,,1,MONTHLY,1.99,Monthly
50,50,2,2024-04-06,,2,20240406,,2,ANNUALLY,9.99,Annually
51,51,2,2024-07-24,,2,20240724,,2,ANNUALLY,9.99,Annually
52,52,2,2024-06-19,,2,20240619,,2,ANNUALLY,9.99,Annually
53,53,2,2024-05-14,,2,20240514,,2,ANNUALLY,9.99,Annually
54,54,3,2024-03-30,,3,20240330,,3,ONETIME,14.99,Onetime
55,55,1,2024-03-29,,1,20240329,,1,MONTHLY,1.99,Monthly
56,56,1,2024-11-28,,1,20241128,,1,MONTHLY,1.99,Monthly
57,57,1,2024-06-01,,1,20240601,,1,MONTHLY,1.99,Monthly
58,58,3,2024-05-28,2024-11-17,3,20240528,20241117.0,3,ONETIME,14.99,Onetime
59,59,2,2024-07-05,,2,20240705,,2,ANNUALLY,9.99,Annually
60,60,1,2024-03-01,,1,20240301,,1,MONTHLY,1.99,Monthly
61,61,1,2024-06-07,,1,20240607,,1,MONTHLY,1.99,Monthly
62,62,2,2024-01-31,,2,20240131,,2,ANNUALLY,9.99,Annually
63,63,2,2024-11-03,,2,20241103,,2,ANNUALLY,9.99,Annually
64,64,2,2024-02-17,,2,20240217,,2,ANNUALLY,9.99,Annually
65,65,3,2024-01-07,2024-12-06,3,20240107,20241206.0,3,ONETIME,14.99,Onetime
66,66,1,2024-09-19,,1,20240919,,1,MONTHLY,1.99,Monthly
67,67,3,2024-01-07,,3,20240107,,3,ONETIME,14.99,Onetime
68,68,1,2024-09-26,2024-11-04,1,20240926,20241104.0,1,MONTHLY,1.99,Monthly
69,69,1,2024-05-27,2024-07-03,1,20240527,20240703.0,1,MONTHLY,1.99,Monthly
70,70,3,2024-09-10,,3,20240910,,3,ONETIME,14.99,Onetime
71,71,1,2024-11-26,2024-12-05,1,20241126,20241205.0,1,MONTHLY,1.99,Monthly
72,72,3,2024-08-04,,3,20240804,,3,ONETIME,14.99,Onetime
73,73,3,2024-02-03,,3,20240203,,3,ONETIME,14.99,Onetime
74,74,1,2024-11-25,,1,20241125,,1,MONTHLY,1.99,Monthly
75,75,1,2024-04-21,,1,20240421,,1,MONTHLY,1.99,Monthly
76,76,2,2024-05-31,,2,20240531,,2,ANNUALLY,9.99,Annually
77,77,1,2024-07-20,,1,20240720,,1,MONTHLY,1.99,Monthly
78,78,1,2024-03-12,,1,20240312,,1,MONTHLY,1.99,Monthly
79,79,1,2024-06-02,2024-09-06,1,20240602,20240906.0,1,MONTHLY,1.99,Monthly
80,80,3,2024-09-27,2024-10-21,3,20240927,20241021.0,3,ONETIME,14.99,Onetime
81,81,3,2024-10-31,,3,20241031,,3,ONETIME,14.99,Onetime
82,82,3,2024-11-24,,3,20241124,,3,ONETIME,14.99,Onetime
83,83,3,2024-05-29,,3,20240529,,3,ONETIME,14.99,Onetime
84,84,2,2024-11-04,,2,20241104,,2,ANNUALLY,9.99,Annually
85,85,2,2024-01-20,2024-09-09,2,20240120,20240909.0,2,ANNUALLY,9.99,Annually
86,86,1,2024-08-16,,1,20240816,,1,MONTHLY,1.99,Monthly
87,87,2,2024-09-01,2024-10-25,2,20240901,20241025.0,2,ANNUALLY,9.99,Annually
88,88,2,2024-07-22,,2,20240722,,2,ANNUALLY,9.99,Annually
89,89,1,2024-02-26,,1,20240226,,1,MONTHLY,1.99,Monthly
90,90,3,2024-08-16,,3,20240816,,3,ONETIME,14.99,Onetime
91,91,3,2024-10-31,,3,20241031,,3,ONETIME,14.99,Onetime
92,92,2,2024-02-20,,2,20240220,,2,ANNUALLY,9.99,Annually
93,93,1,2024-01-31,,1,20240131,,1,MONTHLY,1.99,Monthly
94,94,2,2024-04-03,,2,20240403,,2,ANNUALLY,9.99,Annually
95,95,2,2024-11-01,,2,20241101,,2,ANNUALLY,9.99,Annually
96,96,3,2024-02-05,,3,20240205,,3,ONETIME,14.99,Onetime
97,97,2,2024-03-29,,2,20240329,,2,ANNUALLY,9.99,Annually
98,98,3,2024-08-10,,3,20240810,,3,ONETIME,14.99,Onetime
99,99,3,2024-03-11,2024-05-27,3,20240311,20240527.0,3,ONETIME,14.99,Onetime
100,100,1,2024-03-30,,1,20240330,,1,MONTHLY,1.99,Monthly
101,101,2,2024-04-21,2024-10-19,2,20240421,20241019.0,2,ANNUALLY,9.99,Annually
102,102,2,2024-06-04,,2,20240604,,2,ANNUALLY,9.99,Annually
103,103,3,2024-05-08,,3,20240508,,3,ONETIME,14.99,Onetime
104,104,3,2024-08-14,2024-08-25,3,20240814,20240825.0,3,ONETIME,14.99,Onetime
105,105,1,2024-12-28,,1,20241228,,1,MONTHLY,1.99,Monthly
106,106,3,2024-03-02,,3,20240302,,3,ONETIME,14.99,Onetime
107,107,2,2024-01-17,,2,20240117,,2,ANNUALLY,9.99,Annually
108,108,1,2024-10-16,,1,20241016,,1,MONTHLY,1.99,Monthly
109,109,1,2024-09-07,2024-09-17,1,20240907,20240917.0,1,MONTHLY,1.99,Monthly
110,110,2,2024-11-30,,2,20241130,,2,ANNUALLY,9.99,Annually
111,111,2,2024-10-13,,2,20241013,,2,ANNUALLY,9.99,Annually
112,112,1,2024-06-10,,1,20240610,,1,MONTHLY,1.99,Monthly
113,113,2,2024-06-04,,2,20240604,,2,ANNUALLY,9.99,Annually
114,114,2,2024-09-02,,2,20240902,,2,ANNUALLY,9.99,Annually
115,115,2,2024-02-03,,2,20240203,,2,ANNUALLY,9.99,Annually
116,116,3,2024-04-22,,3,20240422,,3,ONETIME,14.99,Onetime
117,117,3,2024-05-19,,3,20240519,,3,ONETIME,14.99,Onetime
118,118,3,2024-02-02,,3,20240202,,3,ONETIME,14.99,Onetime
119,119,3,2024-09-14,,3,20240914,,3,ONETIME,14.99,Onetime
120,120,1,2024-07-21,,1,20240721,,1,MONTHLY,1.99,Monthly
121,121,2,2024-04-24,,2,20240424,,2,ANNUALLY,9.99,Annually
122,122,2,2024-03-30,,2,20240330,,2,ANNUALLY,9.99,Annually
123,123,1,2024-03-09,,1,20240309,,1,MONTHLY,1.99,Monthly
124,124,3,2024-01-09,,3,20240109,,3,ONETIME,14.99,Onetime
125,125,3,2024-04-08,,3,20240408,,3,ONETIME,14.99,Onetime
126,126,1,2024-07-27,,1,20240727,,1,MONTHLY,1.99,Monthly
127,127,3,2024-11-11,,3,20241111,,3,ONETIME,14.99,Onetime
128,128,3,2024-10-29,,3,20241029,,3,ONETIME,14.99,Onetime
129,129,3,2024-03-27,2024-11-05,3,20240327,20241105.0,3,ONETIME,14.99,Onetime
130,130,1,2024-07-17,,1,20240717,,1,MONTHLY,1.99,Monthly
131,131,1,2024-06-13,,1,20240613,,1,MONTHLY,1.99,Monthly
132,132,2,2024-02-25,,2,20240225,,2,ANNUALLY,9.99,Annually
133,133,2,2024-10-05,,2,20241005,,2,ANNUALLY,9.99,Annually
134,134,3,2024-01-27,,3,20240127,,3,ONETIME,14.99,Onetime
135,135,1,2024-04-02,,1,20240402,,1,MONTHLY,1.99,Monthly
136,136,1,2024-05-15,,1,20240515,,1,MONTHLY,1.99,Monthly
137,137,1,2024-05-25,,1,20240525,,1,MONTHLY,1.99,Monthly
138,138,1,2024-09-24,,1,20240924,,1,MONTHLY,1.99,Monthly
139,139,2,2024-05-28,,2,20240528,,2,ANNUALLY,9.99,Annually
140,140,1,2024-08-20,,1,20240820,,1,MONTHLY,1.99,Monthly
141,141,2,2024-03-20,,2,20240320,,2,ANNUALLY,9.99,Annually
142,142,2,2024-05-11,,2,20240511,,2,ANNUALLY,9.99,Annually
143,143,3,2024-03-22,,3,20240322,,3,ONETIME,14.99,Onetime
144,144,1,2024-08-28,,1,20240828,,1,MONTHLY,1.99,Monthly
145,145,2,2024-09-06,,2,20240906,,2,ANNUALLY,9.99,Annually
146,146,1,2024-07-06,2024-11-19,1,20240706,20241119.0,1,MONTHLY,1.99,Monthly
147,147,1,2024-08-12,,1,20240812,,1,MONTHLY,1.99,Monthly
148,148,2,2024-11-13,,2,20241113,,2,ANNUALLY,9.99,Annually
149,149,1,2024-11-18,2024-12-26,1,20241118,20241226.0,1,MONTHLY,1.99,Monthly
150,150,1,2024-05-16,2024-07-16,1,20240516,20240716.0,1,MONTHLY,1.99,Monthly
151,151,1,2024-01-03,,1,20240103,,1,MONTHLY,1.99,Monthly
152,152,1,2024-02-05,,1,20240205,,1,MONTHLY,1.99,Monthly
153,153,2,2024-10-24,,2,20241024,,2,ANNUALLY,9.99,Annually
154,154,3,2024-12-15,,3,20241215,,3,ONETIME,14.99,Onetime
155,155,1,2024-12-19,,1,20241219,,1,MONTHLY,1.99,Monthly
156,156,1,2024-09-14,2024-09-26,1,20240914,20240926.0,1,MONTHLY,1.99,Monthly
157,157,2,2024-07-15,,2,20240715,,2,ANNUALLY,9.99,Annually
158,158,3,2024-10-15,,3,20241015,,3,ONETIME,14.99,Onetime
159,159,1,2024-06-12,,1,20240612,,1,MONTHLY,1.99,Monthly
160,160,3,2024-02-21,,3,20240221,,3,ONETIME,14.99,Onetime
161,161,1,2024-07-01,,1,20240701,,1,MONTHLY,1.99,Monthly
162,162,1,2024-04-06,,1,20240406,,1,MONTHLY,1.99,Monthly
163,163,2,2024-03-16,,2,20240316,,2,ANNUALLY,9.99,Annually
164,164,3,2024-06-13,,3,20240613,,3,ONETIME,14.99,Onetime
165,165,1,2024-02-25,,1,20240225,,1,MONTHLY,1.99,Monthly
166,166,2,2024-01-27,,2,20240127,,2,ANNUALLY,9.99,Annually
167,167,2,2024-11-15,,2,20241115,,2,ANNUALLY,9.99,Annually
168,168,1,2024-07-14,2024-10-14,1,20240714,20241014.0,1,MONTHLY,1.99,Monthly
169,169,1,2024-04-23,2024-07-20,1,20240423,20240720.0,1,MONTHLY,1.99,Monthly
170,170,2,2024-10-23,,2,20241023,,2,ANNUALLY,9.99,Annually
171,171,3,2024-09-18,2024-11-24,3,20240918,20241124.0,3,ONETIME,14.99,Onetime
172,172,1,2024-12-27,,1,20241227,,1,MONTHLY,1.99,Monthly
173,173,1,2024-02-04,,1,20240204,,1,MONTHLY,1.99,Monthly
174,174,2,2024-12-10,,2,20241210,,2,ANNUALLY,9.99,Annually
175,175,3,2024-07-07,,3,20240707,,3,ONETIME,14.99,Onetime
176,176,2,2024-01-10,,2,20240110,,2,ANNUALLY,9.99,Annually
177,177,2,2024-03-23,,2,20240323,,2,ANNUALLY,9.99,Annually
178,178,2,2024-02-18,,2,20240218,,2,ANNUALLY,9.99,Annually
179,179,2,2024-07-19,2024-07-29,2,20240719,20240729.0,2,ANNUALLY,9.99,Annually
180,180,2,2024-05-29,,2,20240529,,2,ANNUALLY,9.99,Annually
181,181,3,2024-10-28,,3,20241028,,3,ONETIME,14.99,Onetime
182,182,2,2024-08-18,2024-12-14,2,20240818,20241214.0,2,ANNUALLY,9.99,Annually
183,183,3,2024-06-11,,3,20240611,,3,ONETIME,14.99,Onetime
184,184,3,2024-06-08,,3,20240608,,3,ONETIME,14.99,Onetime
185,185,1,2024-12-07,,1,20241207,,1,MONTHLY,1.99,Monthly
186,186,1,2024-08-02,,1,20240802,,1,MONTHLY,1.99,Monthly
187,187,1,2024-12-03,,1,20241203,,1,MONTHLY,1.99,Monthly
188,188,1,2024-02-06,,1,20240206,,1,MONTHLY,1.99,Monthly
189,189,3,2024-05-10,,3,20240510,,3,ONETIME,14.99,Onetime
190,190,1,2024-08-07,,1,20240807,,1,MONTHLY,1.99,Monthly
191,191,3,2024-10-07,2024-11-29,3,20241007,20241129.0,3,ONETIME,14.99,Onetime
192,192,2,2024-11-12,,2,20241112,,2,ANNUALLY,9.99,Annually
193,193,2,2024-12-06,,2,20241206,,2,ANNUALLY,9.99,Annually
194,194,1,2024-09-13,2024-09-29,1,20240913,20240929.0,1,MONTHLY,1.99,Monthly
195,195,1,2024-06-02,,1,20240602,,1,MONTHLY,1.99,Monthly
196,196,2,2024-02-18,,2,20240218,,2,ANNUALLY,9.99,Annually
197,197,3,2024-10-08,,3,20241008,,3,ONETIME,14.99,Onetime
198,198,3,2024-02-07,,3,20240207,,3,ONETIME,14.99,Onetime
199,199,1,2024-05-19,,1,20240519,,1,MONTHLY,1.99,Monthly
4,200,3,2024-11-24,,3,20241124,,3,ONETIME,14.99,Onetime
9,201,3,2024-12-16,,3,20241216,,3,ONETIME,14.99,Onetime
31,202,3,2024-12-05,,3,20241205,,3,ONETIME,14.99,Onetime
69,203,3,2024-07-03,,3,20240703,,3,ONETIME,14.99,Onetime
71,204,3,2024-12-05,,3,20241205,,3,ONETIME,14.99,Onetime
85,205,3,2024-09-09,,3,20240909,,3,ONETIME,14.99,Onetime
87,206,3,2024-10-25,,3,20241025,,3,ONETIME,14.99,Onetime
101,207,3,2024-10-19,,3,20241019,,3,ONETIME,14.99,Onetime
109,208,3,2024-09-17,,3,20240917,,3,ONETIME,14.99,Onetime
146,209,3,2024-11-19,,3,20241119,,3,ONETIME,14.99,Onetime
149,210,3,2024-12-26,,3,20241226,,3,ONETIME,14.99,Onetime
150,211,3,2024-07-16,,3,20240716,,3,ONETIME,14.99,Onetime
156,212,3,2024-09-26,,3,20240926,,3,ONETIME,14.99,Onetime
169,213,3,2024-07-20,,3,20240720,,3,ONETIME,14.99,Onetime
182,214,3,2024-12-14,,3,20241214,,3,ONETIME,14.99,Onetime
194,215,3,2024-09-29,,3,20240929,,3,ONETIME,14.99,Onetime
